rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0,tce_time0_err,tce_duration,tce_duration_err,av_training_set
1,1162345,2,0.831850,6.693070000e-05,2.45497e+06,3.519700000e-02,2.3920,2.1000000e+01,AFP
2,1292087,2,1.095240,1.009340000e-05,2.45497e+06,2.685010000e-03,2.1220,4.7550000e-01,UNK
3,1293031,2,0.719273,1.388330000e-05,2.45497e+06,2.786260000e-03,1.5210,3.1830000e-01,UNK
4,1162345,3,0.831833,9.431020000e-06,2.45496e+06,2.209140000e-03,2.1810,1.2110000e+00,AFP
5,1164109,1,622.408000,8.547390000e-03,2.45500e+06,9.840370000e-03,12.0100,1.8430000e+00,UNK
6,757450,1,8.884920,1.186150000e-06,2.45497e+06,1.014910000e-04,2.0780,2.3950000e-02,PC
7,892667,1,2.262110,2.726600000e-05,2.45497e+06,6.531110000e-03,7.5090,5.1980000e+00,NTP
8,892772,1,5.092600,3.144550000e-05,2.45497e+06,4.821040000e-03,3.3990,2.4260000e-01,AFP
9,1026032,1,8.460440,3.822250000e-07,2.45497e+06,3.816630000e-05,4.8040,2.0100000e-03,UNK
10,1026032,2,4.230220,7.327150000e-07,2.45497e+06,1.392290000e-04,4.6060,6.9320000e-03,UNK
11,1026133,2,2.691910,2.128260000e-05,2.45497e+06,4.653150000e-03,5.5300,1.3040000e+00,UNK
12,1026133,1,1.346290,2.253040000e-05,2.45497e+06,1.183560000e-02,1.6260,2.7120000e-01,UNK
13,1028018,1,0.614378,9.733760000e-06,2.45496e+06,1.010360000e-03,1.4480,2.5100000e-01,UNK
14,1026957,1,21.761300,1.002540000e-05,2.45498e+06,3.854900000e-04,1.2770,3.7370000e-02,AFP
15,1160891,1,0.940463,2.619800000e-05,2.45497e+06,5.988500000e-03,3.3540,2.6610000e+00,AFP
16,1160891,2,0.940463,8.053180000e-06,2.45496e+06,3.442450000e-02,3.3320,7.3100000e-01,AFP
17,1160891,3,0.940520,7.876050000e-06,2.45497e+06,1.624900000e-03,3.1880,1.7450000e+00,AFP
18,1162150,2,0.778568,9.102830000e-06,2.45496e+06,2.048750000e-03,1.3990,8.4430000e-01,AFP
19,1162150,1,0.778574,7.102600000e-06,2.45496e+06,1.479950000e-03,1.3610,1.4720000e-01,AFP
20,1161345,1,4.287580,1.116950000e-06,2.45497e+06,1.523790000e-04,1.1130,4.0350000e-02,PC
21,1162150,3,1.284530,2.585230000e-05,2.45497e+06,1.070330000e-02,4.1750,2.6580000e+00,UNK
22,1293031,1,1.078610,1.272980000e-05,2.45497e+06,3.908900000e-03,3.4610,1.3630000e+00,UNK
23,1162345,1,0.831777,1.136930000e-05,2.45496e+06,2.556340000e-03,2.3490,1.7510000e+00,AFP
24,1292087,1,0.547626,2.340840000e-05,2.45496e+06,4.088430000e-03,1.4080,5.4330000e-01,NTP
25,1573174,2,0.748347,7.786200000e-06,2.45496e+06,2.490030000e-03,2.8970,4.1720000e+00,AFP
26,1574792,1,1.391750,1.488460000e-05,2.45496e+06,4.111450000e-03,3.3300,6.2770000e-01,NTP
27,1575690,1,1.126200,1.569320000e-07,2.45497e+06,3.290970000e-05,1.6320,1.2180000e-02,AFP
28,1575873,1,0.629008,7.191270000e-06,2.45496e+06,1.210070000e-03,1.4210,4.8000000e-01,AFP
29,1865567,1,0.674634,1.044420000e-05,2.45496e+06,3.590520000e-03,2.1600,3.4770000e+00,NTP
30,1865567,2,1.349420,8.020030000e-06,2.45497e+06,2.329100000e-03,3.1590,2.9980000e-01,AFP
31,1865567,3,1.349470,7.246960000e-06,2.45496e+06,1.654990000e-03,2.0050,6.7850000e-02,AFP
32,2019227,1,2.980320,3.382960000e-05,2.45497e+06,6.649580000e-03,8.0300,3.8580000e+00,NTP
33,2019297,1,3.794240,3.165850000e-05,2.45497e+06,5.124180000e-03,6.7160,1.0650000e+00,UNK
34,2019477,1,27.248100,4.854240000e-04,2.45496e+06,1.536770000e-02,10.7600,1.0350000e+00,PC
35,2167600,1,1.691460,2.999230000e-05,2.45497e+06,1.335400000e-02,2.2320,5.3710000e-01,NTP
36,2167600,2,3.382940,3.551570000e-05,2.45496e+06,6.200940000e-03,4.8220,1.0660000e+00,AFP
37,2167600,3,3.382920,5.294830000e-05,2.45497e+06,1.090060000e-02,7.0930,1.2740000e+00,AFP
38,2167783,1,0.862877,8.453680000e-06,2.45497e+06,1.862010000e-03,1.8540,6.9530000e-01,UNK
39,2306740,2,10.306900,0.000000000e+00,2.45497e+06,0.000000000e+00,7.5000,0.0000000e+00,AFP
40,2306740,3,10.307000,6.167440000e-06,2.45497e+06,4.621140000e-04,18.6400,3.4480000e-01,AFP
41,2307197,1,449.504000,2.020240000e-02,2.45510e+06,2.343240000e-02,9.1380,6.7440000e+00,UNK
42,2307199,1,13.447200,1.016880000e-05,2.45497e+06,6.300030000e-04,2.3300,1.8350000e-01,AFP
43,2439211,2,0.499972,2.043310000e-05,2.45496e+06,4.308870000e-03,1.3850,1.2350000e+00,AFP
44,2439243,1,26.020400,1.645890000e-04,2.45499e+06,5.393880000e-03,4.7370,1.2090000e+00,PC
45,2439469,1,21.165300,2.709070000e-04,2.45497e+06,1.070220000e-02,15.2100,9.4150000e-01,UNK
46,2439660,1,0.668328,8.067630000e-02,2.45496e+06,2.733810000e+01,1.7890,4.1640000e+02,UNK
47,2554853,1,3.514680,4.533540000e-05,2.45497e+06,7.565710000e-03,4.8850,9.2940000e-01,AFP
48,2554853,2,3.513490,5.598080000e-05,2.45497e+06,1.010110000e-02,7.9430,2.2150000e+00,AFP
